21_03_2021_16_29_03 : Training L0 model - epochs 5 - lr 0.0001 - scheduler_gamma 0.1 - weight_decay - 1e-05 - use_adam True 
21_03_2021_16_33_58 : Training L0 model - epochs 10 - lr 0.0001 - scheduler_gamma 0.1 - weight_decay - 1e-05 - use_adam True 
Epoch: 1/10 - 21/03/2021 16:34:05 - Training Loss: 0.6795 - Training Accuracy: 0.3513 - Test Loss: 0.6678 - Test Accuracy: 0.3638
Epoch: 2/10 - 21/03/2021 16:34:12 - Training Loss: 0.6723 - Training Accuracy: 0.3503 - Test Loss: 0.6387 - Test Accuracy: 0.3746
Epoch: 3/10 - 21/03/2021 16:34:19 - Training Loss: 0.6487 - Training Accuracy: 0.4187 - Test Loss: 0.5532 - Test Accuracy: 0.5673
Epoch: 4/10 - 21/03/2021 16:34:25 - Training Loss: 0.6288 - Training Accuracy: 0.5454 - Test Loss: 0.5324 - Test Accuracy: 0.8073
Epoch: 5/10 - 21/03/2021 16:34:32 - Training Loss: 0.6123 - Training Accuracy: 0.5461 - Test Loss: 0.4899 - Test Accuracy: 0.7295
Epoch: 6/10 - 21/03/2021 16:34:39 - Training Loss: 0.5977 - Training Accuracy: 0.5812 - Test Loss: 0.4884 - Test Accuracy: 0.7641
Epoch: 7/10 - 21/03/2021 16:34:45 - Training Loss: 0.6009 - Training Accuracy: 0.5750 - Test Loss: 0.4865 - Test Accuracy: 0.7809
Epoch: 8/10 - 21/03/2021 16:34:52 - Training Loss: 0.6045 - Training Accuracy: 0.5925 - Test Loss: 0.4810 - Test Accuracy: 0.7504
Epoch: 9/10 - 21/03/2021 16:34:58 - Training Loss: 0.6008 - Training Accuracy: 0.6008 - Test Loss: 0.4838 - Test Accuracy: 0.7653
Epoch: 10/10 - 21/03/2021 16:35:05 - Training Loss: 0.6051 - Training Accuracy: 0.5990 - Test Loss: 0.4814 - Test Accuracy: 0.7865

21_03_2021_16_35_05 : Training L0 model - epochs 10 - lr 0.0001 - scheduler_gamma 0.1 - weight_decay - 1e-05 - use_adam False 
Epoch: 1/10 - 21/03/2021 16:35:12 - Training Loss: 0.6777 - Training Accuracy: 0.3513 - Test Loss: 0.6720 - Test Accuracy: 0.3638
Epoch: 2/10 - 21/03/2021 16:35:19 - Training Loss: 0.6749 - Training Accuracy: 0.3500 - Test Loss: 0.6753 - Test Accuracy: 0.3664
Epoch: 3/10 - 21/03/2021 16:35:25 - Training Loss: 0.6674 - Training Accuracy: 0.3812 - Test Loss: 0.6238 - Test Accuracy: 0.3705
Epoch: 4/10 - 21/03/2021 16:35:32 - Training Loss: 0.6452 - Training Accuracy: 0.4375 - Test Loss: 0.5787 - Test Accuracy: 0.8263
Epoch: 5/10 - 21/03/2021 16:35:39 - Training Loss: 0.6228 - Training Accuracy: 0.5190 - Test Loss: 0.5053 - Test Accuracy: 0.7865
Epoch: 6/10 - 21/03/2021 16:35:45 - Training Loss: 0.6085 - Training Accuracy: 0.5837 - Test Loss: 0.4880 - Test Accuracy: 0.7240
Epoch: 7/10 - 21/03/2021 16:35:52 - Training Loss: 0.6101 - Training Accuracy: 0.5809 - Test Loss: 0.4868 - Test Accuracy: 0.7385
Epoch: 8/10 - 21/03/2021 16:35:59 - Training Loss: 0.6016 - Training Accuracy: 0.5875 - Test Loss: 0.4840 - Test Accuracy: 0.7381
Epoch: 9/10 - 21/03/2021 16:36:05 - Training Loss: 0.6027 - Training Accuracy: 0.5853 - Test Loss: 0.4779 - Test Accuracy: 0.7634
Epoch: 10/10 - 21/03/2021 16:36:12 - Training Loss: 0.5996 - Training Accuracy: 0.5891 - Test Loss: 0.4772 - Test Accuracy: 0.7813
